                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6656,                 2.3645,                 2.0649,                0.77889,                0.66131,                0.74312,                0.42495,                 1.5691,                  1.606,                 1.9647,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.6326,                 1.6729,                 1.9711,                0.74889,                0.60223,                0.70897,                0.39932,                 1.5787,                 1.4566,                 1.9445,              0.0066576,              0.0066576,              0.0066576
                      3,                 1.6625,                 1.6625,                 1.9857,                 0.6556,                0.65613,                0.70415,                0.38724,                 1.6257,                 1.5254,                 2.0568,              0.0099777,              0.0099777,              0.0099777
                      4,                 1.7053,                 1.6272,                 2.0236,                0.74291,                0.68959,                0.74488,                 0.3876,                  1.665,                 1.5027,                 2.0423,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.6646,                 1.5384,                 1.9823,                0.77724,                0.67286,                0.78216,                0.43204,                 1.5812,                 1.4235,                 2.0085,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.6407,                 1.4867,                 1.9566,                0.76925,                0.68781,                0.77564,                0.43145,                 1.5243,                  1.379,                 1.9419,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.6132,                 1.4175,                  1.952,                0.85279,                0.66762,                0.80715,                0.45905,                 1.4977,                 1.4094,                 1.9358,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.5935,                 1.3977,                 1.9152,                0.81987,                0.72491,                0.80789,                 0.4501,                 1.5623,                 1.2424,                  1.989,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.5667,                 1.3559,                 1.9061,                0.80771,                 0.7658,                0.84024,                  0.481,                 1.5036,                 1.2038,                 1.9169,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.5495,                 1.3223,                 1.8863,                 0.8346,                0.71279,                0.82514,                0.47663,                 1.4594,                 1.2705,                 1.8641,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.5249,                 1.2865,                 1.8725,                0.81912,                0.70632,                0.81807,                0.47051,                 1.5033,                 1.2471,                 1.9356,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.5137,                 1.2583,                 1.8614,                0.84848,                0.72858,                0.83981,                0.48085,                 1.4893,                 1.1587,                 1.9253,               0.009901,               0.009901,               0.009901
                     13,                 1.4866,                 1.2343,                 1.8415,                0.81687,                0.73606,                0.83198,                0.48756,                 1.4555,                 1.1367,                 1.8734,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.4772,                  1.225,                 1.8327,                0.82977,                0.72677,                0.84655,                0.50027,                 1.4211,                 1.1779,                 1.8847,              0.0098812,              0.0098812,              0.0098812
